time, x, xd
6.562000, 2.226045, -2.920054
6.572000, 2.196400, -3.018854
6.582000, 2.165767, -3.117654
6.592000, 2.134146, -3.216454
6.602000, 2.101537, -3.315254
6.612000, 2.067940, -3.414054
6.622000, 2.033355, -3.512854
6.632000, 1.997781, -3.611654
6.642000, 1.961220, -3.710454
6.652000, 1.923671, -3.809254
6.662000, 1.885134, -3.908054
6.672000, 1.845609, -4.006854
6.682000, 1.805096, -4.105654
6.692000, 1.763595, -4.204454
6.702000, 1.721105, -4.303254
6.712000, 1.677628, -4.402054
6.722000, 1.633163, -4.500854
6.732000, 1.587710, -4.599654
6.742000, 1.541269, -4.698454
6.752000, 1.493840, -4.797254
6.762000, 1.445423, -4.896054
6.772000, 1.396017, -4.994854
6.782000, 1.345624, -5.093654
6.792000, 1.294243, -5.192454
6.802000, 1.241874, -5.291254
6.812000, 1.188517, -5.390054
6.822000, 1.134172, -5.488854
6.832000, 1.078839, -5.587654
6.842000, 1.022518, -5.686454
6.852000, 0.965208, -5.785254
6.862000, 0.906911, -5.884054
6.872000, 0.847626, -5.982854
6.882000, 0.787353, -6.081654
6.892000, 0.726092, -6.180454
6.902000, 0.663843, -6.279254
6.912000, 0.600606, -6.378054
6.922000, 0.536380, -6.476854
6.932000, 0.471167, -6.575654
6.942000, 0.404966, -6.674454
6.952000, 0.337777, -6.773254
6.962000, 0.269600, -6.872054
6.972000, 0.200435, -6.970854
6.982000, 0.130282, -7.069654
6.992000, 0.059140, -7.168454
7.002000, 0.011537, 5.796019
7.012000, 0.069053, 5.697219
7.022000, 0.125580, 5.598419
7.032000, 0.181120, 5.499619
7.042000, 0.235672, 5.400819
7.052000, 0.289235, 5.302019
7.062000, 0.341811, 5.203219
7.072000, 0.393398, 5.104419
7.082000, 0.443998, 5.005619
7.092000, 0.493610, 4.906819
7.102000, 0.542233, 4.808019
7.112000, 0.589869, 4.709219
7.122000, 0.636516, 4.610419
7.132000, 0.682176, 4.511619
7.142000, 0.726847, 4.412819
7.152000, 0.770531, 4.314019
7.162000, 0.813227, 4.215219
7.172000, 0.854934, 4.116419
7.182000, 0.895654, 4.017619
7.192000, 0.935385, 3.918819
7.202000, 0.974129, 3.820019
7.212000, 1.011885, 3.721219
7.222000, 1.048652, 3.622419
7.232000, 1.084432, 3.523619
7.242000, 1.119223, 3.424819
7.252000, 1.153027, 3.326019
7.262000, 1.185843, 3.227219
7.272000, 1.217670, 3.128419
7.282000, 1.248510, 3.029619
7.292000, 1.278361, 2.930819
7.302000, 1.307225, 2.832019
7.312000, 1.335101, 2.733219
7.322000, 1.361988, 2.634419
7.332000, 1.387888, 2.535619
7.342000, 1.412799, 2.436819
7.352000, 1.436723, 2.338019
